"CityName","Zone Name","Ward Name","Name of Parking","Parking Address","Latitude","Longitude","No. of 2 wheeler parking","No. of 4 wheeler parking"
"Pune ","5","Kasba -Vishrambaugwada","Minarva, Misal","Mandai, Pune","N.A.","N.A.","200","246"
"Pune ","5","Kasba -Vishrambaugwada","Laxmi Road  709/ 710 ","709/710,  Laxmi road ,Pune ","N.A.","N.A.","65","4"
"Pune ","5","Kasba -Vishrambaugwada","Hamalwada","Narayan peth, Pune ","N.A.","N.A.","50","257"
"Pune ","5","Kasba -Vishrambaugwada","Peshve Park"," Sadashiv Peth,Pune ","N.A.","N.A.","42","18"
"Pune ","5","Kasba -Vishrambaugwada","Haribhau Sane","Narayan Peth, Pune ","N.A.","N.A.","0","183"
"Pune ","5","Kasba -Vishrambaugwada","Navloba Temple","Saras Baug, Pune ","N.A.","N.A.","130","15"
"Pune ","5","Kasba -Vishrambaugwada","Aryan, Babu Genu ","Mandai, Pune ","N.A.","N.A.","100","300"
"Pune ","1","Dhole Patil "," Shinde Tukaram  ( 2 Wheeler) ","Pune Stataion ","N.A.","N.A.","1200","0"
"Pune ","1","Dhole Patil "," Shinde Tukaram  ( 4 Wheeler )","Pune Station ","N.A.","N.A.","0","377"
"Pune ","5","Bhawani Peth ","Dudhbhatti, Rasta Peth, Daruwala Bridge "," Rasta Peth, Pune ","N.A.","N.A.","181","42"
"Pune ","1","Dhole Patil ","M. Gandhi ","Bund Garden, Pune ","N.A.","N.A.","134","29"
"Pune ","5","Bhawani Peth ","Alpana Theatre, Ganesh Peth","Ganesh Peth ,Laxmi road , Pune ","N.A.","N.A.","25","8"
"Pune ","5","Bhawani Peth ","Shahu Udyan","Somwar peth, Pune ","N.A.","N.A.","17","3"
"Pune ","5","Bhawani Peth "," Bhavani Peth, Nagzari Nala ","Kasewadi, Bhavani Peth, Pune ","N.A.","N.A.","67","20"
"Pune ","3","Singhgad Road ","P.L. Desh. Udyan","Sinhagad Road , Pune ","N.A.","N.A.","183","90"
"Pune ","5","Bibwewadi ","Decision Tower,S.No.692","Bibvewadi, Pune ","N.A.","N.A.","86","0"
"Pune ","5","Bibwewadi ","Saibaba Temple","Satara Road, Pune ","N.A.","N.A.","73","24"
"Pune ","3","Dhankwadi ","Rajiv Gandi Udyan","Katraj, Pune ","N.A.","N.A.","80","30"
"Pune ","3","Dhankwadi ","Katraj PMT, Old Octroi Naka","Katraj, Pune ","N.A.","N.A.","50","12"
"Pune ","3","Dhankwadi ","Katraj Milk Dairy, PMPML","Katraj, Pune ","N.A.","N.A.","50","5"
"Pune ","3","Dhankwadi ","Dhanakavdi, Truck Terminal","Dhankwadi, Pune ","N.A.","N.A.","0","69"
"Pune ","2","Ghole Road ","S.Nagar FP 576","Shivajinagar , Pune ","N.A.","N.A.","57","44"
"Pune ","2","Ghole Road ","S.Nagar, F.C.  Shirole Road","Shivajinagar, Pune ","N.A.","N.A.","24","22"
"Pune ","2","Ghole Road ","S.Nagar, Millenium Plaza","Shivajinagar, pune ","N.A.","N.A.","60","40"
"Pune ","2","Ghole Road ","S.Nagar, FP660, J.M. Road","Jangali Maharaj Road,Shivajinagar ,  Pune ","N.A.","N.A.","60","45"
"Pune ","2","Ghole Road ","Sambhaji garden Mech. J.M. Road","Jangali Maharaj Road,Shivajinagar ,  Pune ","N.A.","N.A.","0","80"
"Pune ","1","Nagar Road ","Punya nagari, Vadgaon Sheri","Vadgaon Sheri, Pune","N.A.","N.A.","35","48"
"Pune ","1","Nagar Road ","Kharadi S.No. 72, Amenity Space ","Kharadi, Pune ","N.A.","N.A.","101","177"
"Pune ","4","Kondhva - Yewalewadi ","Iscon Temple","Kondhva Bk., Pune ","N.A.","N.A.","0","172"
