"City","Zone","Ward Name","Ward No.","No. Notified Slums","No. of Recognised Slums","No. of Identfied Slums","Slum Population - Total","Slum Population - Male","Slum Population - Female","Slum Population - Child (0-6)","Population - SC Category","Population - ST Category","Literacy Rate (%)",""
"Pune","1","Nagar road-Vadgaonsheri","N.A","7","5","N.A","22975","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","1","Yerawada-Kalas-Dhanori","N.A","42","12","N.A","108085","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","1","Dholepatil Road","N.A","34","16","N.A","65430","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","2","Aundh-Baner","N.A","16","6","N.A","25485","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","2","Shivajinagar - Gholeroad","N.A","26","7","N.A","57075","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","2","Kothrood-Bavadan","N.A","15","3","N.A","53805","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","3","Dhankawdi-Shakarnagar","N.A","16","4","N.A","31944","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","3","Sihagad Road","N.A","5","8","N.A","115905","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","3","Warje-Karvenagar","N.A","9","6","N.A","40455","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","4","Hadapsar-Mundhawa","N.A","15","13","N.A","41070","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","4","Wanawadi-Ramtekadi","N.A","19","3","N.A","18940","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","4","Kondahwa-Yewalewadi","N.A","0","1","N.A","4890","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","5","Kasaba-Vishrambagwada","N.A","30","7","N.A","34990","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","5","Bhawanipeth","N.A","26","29","N.A","52560","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","5","Bibawewadi","N.A","9","1","N.A","36810","N.A","N.A","N.A","N.A","N.A","N.A",""
"Pune","5","N.A.","Total","269","121","N.A.","710419","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.",""
